Designator,Mid X,Mid Y,Rotation,Layer
C1,79.5000,-90.0000,180.0,Top
C11,93.0000,-58.8000,90.0,Top
C12,92.0000,-67.2000,180.0,Top
C13,108.7000,-60.8000,90.0,Top
C14,108.7000,-65.2000,-90.0,Top
C15,89.5000,-63.0000,0.0,Top
C21,93.0000,-71.8000,90.0,Top
C22,92.0000,-80.2000,180.0,Top
C23,108.7000,-73.8000,90.0,Top
C24,108.7000,-78.2000,-90.0,Top
C25,89.5000,-76.0000,0.0,Top
C31,93.0000,-84.8000,90.0,Top
C32,92.0000,-93.2000,180.0,Top
C33,108.7000,-86.8000,90.0,Top
C34,108.7000,-91.2000,-90.0,Top
C35,89.5000,-89.0000,0.0,Top
C41,93.0000,-97.8000,90.0,Top
C42,92.0000,-106.2000,180.0,Top
C43,108.7000,-99.8000,90.0,Top
C44,108.7000,-104.2000,-90.0,Top
C45,89.5000,-102.0000,0.0,Top
D1,75.0000,-66.4000,-90.0,Top
D11,113.0000,-59.2000,90.0,Top
D2,76.5000,-98.0000,0.0,Top
D21,113.0000,-72.2000,90.0,Top
D31,113.0000,-85.2000,90.0,Top
D41,113.0000,-98.2000,90.0,Top
F1,74.5000,-59.5000,0.0,Top
F11,114.5000,-63.0000,0.0,Top
F21,114.5000,-76.0000,0.0,Top
F31,114.5000,-89.0000,0.0,Top
F41,114.5000,-102.0000,0.0,Top
J1,64.0000,-64.0000,0.0,Top
J2,123.0000,-60.4600,-90.0,Top
J3,123.0000,-73.4600,-90.0,Top
J4,123.0000,-86.4600,-90.0,Top
J5,123.0000,-99.4600,-90.0,Top
L1,102.0000,-63.0000,0.0,Top
L2,102.0000,-76.0000,0.0,Top
L3,102.0000,-89.0000,0.0,Top
L4,102.0000,-102.0000,0.0,Top
Q1,74.0000,-75.0000,90.0,Top
R1,71.7200,-83.0000,-90.0,Top
R11,89.5000,-61.0000,0.0,Top
R12,89.5000,-65.0000,180.0,Top
R13,115.0000,-59.2000,90.0,Top
R2,80.5000,-98.0000,180.0,Top
R21,89.5000,-74.0000,0.0,Top
R22,89.5000,-78.0000,180.0,Top
R23,115.0000,-72.2000,90.0,Top
R31,89.5000,-87.0000,0.0,Top
R32,89.5000,-91.0000,180.0,Top
R33,115.0000,-85.2000,90.0,Top
R41,89.5000,-100.0000,0.0,Top
R42,89.5000,-104.0000,180.0,Top
R43,115.0000,-98.2000,90.0,Top
U1,94.0000,-63.0000,180.0,Top
U2,94.0000,-76.0000,180.0,Top
U3,94.0000,-89.0000,180.0,Top
U4,94.0000,-102.0000,180.0,Top
