Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,CL21A106KOQNNNE
C3,0603,1,1uF,CL10A105KA8NNNC
"D1, D2",0603,2,LED,19-217/R6C-AL1M2VY/6T
J1,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,HX PM2.54-1x7P ZC-Y
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,TYPE-C-31-M-12
"R1, R2",0603,2,5.1k,RC0603FR-075K1L
"R3, R4",0603,2,10k,AC0603JR-0710KL
R5,0603,1,2k,RC0603JR-072KL
R6,0603,1,470,RC0603FR-07470RL
SW1,SW_SPST_B3U-1000P,1,RST,B3U-1000P
SW2,SW_SPST_B3U-1000P,1,BOOT,B3U-1000P
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,ESP32-S3-MINI-1-N8
U2,SOT-23-5,1,TLV75733PDBV,TLV75733PDBVR-MS
