Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0000,-84.5000,270.0,top
C2,133.4000,-84.5000,270.0,top
C3,136.3000,-87.0000,0.0,top
D1,118.2000,-97.5000,0.0,top
D2,118.2000,-93.0000,0.0,top
D3,121.5000,-73.5000,0.0,top
D4,135.5000,-80.5000,0.0,top
J1,122.1299,-68.4945,90.0,top
J3,120.0500,-81.8200,270.0,top
R1,127.5000,-78.0000,0.0,top
R2,127.5000,-80.0000,0.0,top
R3,136.3000,-83.0000,0.0,top
R4,136.3000,-85.0000,0.0,top
R5,118.2000,-95.4100,0.0,top
R6,118.2000,-91.0000,180.0,top
SW1,140.4000,-85.4000,0.0,top
SW2,140.4000,-80.6000,0.0,top
U1,129.7500,-101.5000,180.0,top
U2,130.5000,-84.0000,270.0,top
